Note,Length,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,,D,d,g
Re4,1108,,293,440,591,740,891,1042,1187,1345,1494,,25.6,17.6,4
Re#,1040,,313,471,630,787,946,1110,1269,1430,1597,,,,
Mi,988,162,330,492,663,829,998,1163,1330,1500,1679,,,,
Fa,921,174,349,528,708,885,1062,1247,1425,1605,,,,,
Fa#,875,184,370,560,747,936,1121,1311,1506,1699,,,,,
Sol,820,196,393,590,792,995,1194,1399,1597,,,,,,
Sol#,766,207,417,625,844,1056,1270,1494,1720,,,,,,
La,719,218,440,658,891,1113,1343,1582,,,,,,,
La#,676,233,467,700,942,1182,1428,1690,1937,,,,,,
Si,630,247,494,743,1003,1266,1535,1813,,,,,,,
Do,588,261,523,792,1074,1358,1635,1934,,,,,,,
Do#,550,280,560,848,1144,1446,1752,,,,,,,,
Re5,523,293,590,896,1206,1532,1857,,,,,,,,
Re#,495,311,623,943,1270,1614,1942,,,,,,,,
Mi,465,330,660,996,1350,1708,,,,,,,,,
